PLOT,yr,plot,lat,long,n_trees,agb
546,2015,546,43.79632500000002,-75.09199399999994,34,18892.483544
547,2017,547,42.133387,-74.738803,0,0
548,2015,548,42.129987,-76.694866,0,0
549,2019,549,42.26248499999998,-75.65386800000002,36,7934.1329799999985
550,2017,550,42.487186,-74.815437,0,0
551,2019,551,41.865526000000024,-73.71691600000003,30,0
552,2016,552,40.842583,-73.284627,0,0
553,2015,553,42.721827,-74.197807,0,0
555,2013,555,42.149946,-78.16431999999999,9,38.676591
556,2016,556,42.856059999999985,-77.67381500000005,25,6281.4766309999995
557,2018,557,42.916015,-77.374542,0,0
558,2018,558,41.02132699999998,-72.00719799999995,40,5872.296600000001
562,2019,562,42.118582,-73.56012,0,0
563,2016,563,40.693325,-73.857472,0,0
564,2013,564,43.114332999999995,-75.098111,9,2649.968064
565,2016,565,44.225015,-73.604394,0,0
566,2015,566,42.205062,-78.40225700000008,47,16045.384023999997
567,2014,567,44.33477799999997,-74.55728799999999,44,5864.506428000001
568,2016,568,42.91316499999998,-74.06680499999996,51,33768.697159999996
569,2018,569,42.559201,-77.435356,0,0
570,2014,570,42.182522000000006,-75.82589700000001,37,18889.223644
572,2014,572,41.93747699999998,-73.69460400000001,18,24031.580941000004
573,2017,573,42.35559800000003,-74.194164,40,27405.626431000004
575,2013,575,42.076622999999984,-78.21256499999997,35,16477.356169
576,2019,576,42.18127099999997,-75.13947899999997,58,20435.240263
580,2017,580,44.496439,-73.99253899999995,50,6535.735435000001
582,2015,582,42.858661,-77.50356,0,0
583,2013,583,43.43147500000001,-74.31554599999993,55,46012.03118400001
585,2015,585,43.325653,-77.971377,0,0
588,2018,588,42.48656299999998,-73.701273,40,38746.430118
589,2013,589,44.340024999999976,-74.98457600000002,33,14098.312357
590,2013,590,42.11502300000002,-74.47774299999995,47,34437.257879000004
591,2015,591,44.788,-74.406264,0,0
592,2016,592,43.92021599999999,-73.86158500000008,39,25976.339462
593,2019,593,44.04032299999998,-76.29214299999997,18,3097.834027
596,2015,596,42.260836999999974,-76.69402499999988,64,14933.003136
597,2019,597,44.84532399999994,-75.05014900000005,54,10174.051524
600,2018,600,42.160154000000006,-73.588264,18,9788.981489999998
601,2013,601,42.06861299999997,-75.57232000000008,42,30684.881403000003
602,2015,602,41.74074999999996,-74.62535699999992,73,0
603,2013,603,41.150714,-72.279866,4,0
604,2019,604,42.28559499999998,-75.43725999999998,71,25429.181813999996
605,2018,605,42.50156799999997,-77.98675700000004,52,19601.962557000006
606,2015,606,41.270957999999986,-73.693129,27,49522.256719
609,2014,609,41.293905,-74.225157,0,0
610,2014,610,43.289705,-74.36276799999997,29,48969.411321
612,2016,612,42.266703,-75.560922,0,0
613,2013,613,44.50835800000002,-74.31644400000003,35,12109.687446999998
614,2019,614,43.22227100000004,-76.62026100000001,52,25110.209119000006
615,2017,615,42.572573,-75.146932,0,0
616,2018,616,42.654526,-76.850465,0,0
617,2019,617,42.160632999999976,-77.67773099999991,45,35409.119153
619,2015,619,43.332916,-73.615337,0,0
620,2013,620,42.694524,-74.80137699999989,59,39581.92730999999
621,2019,621,44.538661,-75.23357,0,0
623,2019,623,43.99614199999998,-74.66564999999994,66,21089.542951000007
624,2016,624,43.46804,-75.285688,8,2516.2796289999997
626,2018,626,41.968435,-74.778601,38,20272.330550000002
627,2015,627,41.548977,-74.392887,0,0
628,2013,628,42.008992999999975,-75.970644,40,22477.354655000003
629,2019,629,43.56631199999997,-73.50197399999992,45,25300.954303000002
630,2017,630,42.05517099999998,-78.45811499999995,38,39279.17222099999
631,2018,631,43.63763500000003,-74.22318600000003,40,13006.739867
632,2019,632,42.234355,-78.99062300000001,8,0
633,2017,633,42.849492,-78.013774,0,0
635,2013,635,41.167065999999984,-74.17432200000003,26,19433.834061
636,2019,636,44.861445,-73.49530999999992,48,29561.281523000005
638,2015,638,41.316546,-74.306817,0,0
639,2018,639,40.73462,-73.098113,0,0
640,2014,640,42.922877,-74.603532,0,0
641,2018,641,44.781178,-73.570124,0,0
642,2019,642,43.028793,-77.705677,8,2233.978608
643,2018,643,43.208895,-78.11243,5,228.96499
644,2014,644,42.326865,-74.933677,28,20908.356704
645,2015,645,42.270676,-73.46215500000001,7,2778.62275
646,2017,646,43.08311200000001,-74.61994300000002,10,0
647,2019,647,42.095870999999995,-79.10404000000005,48,0
648,2013,648,44.681947000000015,-74.550303,48,12036.057687999999
